_id,_rev,id,id_type_profil,profil
2,6-3d68d65c73723ed8eb49997380742143,2,3,Silver affluent
3,6-9fad6dfb4c8388a57e489147222d340c,3,3,Silver Prestige
1,6-2b999b1e29dec3d6a997481bcaf6a71c,1,3,Silver grand public
4,6-a70b41f48a49422584263b282e231013,4,2,Gold grand public
6,6-fa1c631c1db5fcd427df9e677f1f3bd7,6,2,Gold Prestige
7,6-4d35c8b708aaf86be87e0138029886f3,7,1,Platinium grand public
5,6-99f6ca96e48f9712ad58ffe753ed0a0f,5,2,Gold affluent
8,6-d2438c8a74ba9e732adfac8d5f55cd88,8,1,Platinium affluent
9,6-3c459ad12156f8008a5b3d5be5774e27,9,1,Platinium Prestige
