code_statut_contrat,codeperiodicite,dateEffet,datefin,duree,idassure,id_souscripteur,police,prime,produitcode
1,12,null,null,null,101002174,null,101002174,0,50
1,12,null,null,null,101001630,null,101001630,347808,50
1,12,null,null,null,101001662,null,101001662,212820,50
1,12,null,null,null,101001495,null,101001495,3506720,50
1,12,null,null,null,101001710,null,101001710,266424,50
1,12,null,null,null,101001881,null,101001881,0,50
1,12,null,null,null,101001680,null,101001680,297036,50
1,12,null,null,null,101002036,null,101002036,677808,50
1,12,null,null,null,101001471,null,101001471,0,50
1,12,null,null,null,101001693,null,101001693,0,50
1,12,null,null,null,101001697,null,101001697,416928,50
1,12,null,null,null,101001428,null,101001428,290592,50
1,12,null,null,null,101001518,null,101001518,571296,50
1,12,null,null,null,101001809,null,101001809,0,50
1,12,null,null,null,101002208,null,101002208,419552,50
1,12,null,null,null,101001870,null,101001870,600492,50
1,12,null,null,null,101002248,null,101002248,949536,50
1,12,null,null,null,101002190,null,101002190,466320,50
1,12,null,null,null,101001558,null,101001558,0,50
1,12,null,null,null,101001748,null,101001748,982248,50
1,12,null,null,null,101002027,null,101002027,0,50
1,12,null,null,null,101001774,null,101001774,518400,50
1,12,null,null,null,101002276,null,101002276,505888,50
1,12,null,null,null,101002138,null,101002138,560480,50
1,12,null,null,null,101001505,null,101001505,0,50
1,12,null,null,null,101001729,null,101001729,1005200,50
1,12,null,null,null,101002204,null,101002204,910528,50
1,12,null,null,null,101002251,null,101002251,1929984,50
1,12,null,null,null,101002089,null,101002089,0,50
1,12,null,null,null,101001902,null,101001902,350376,50
1,12,null,null,null,101001832,null,101001832,905328,50
1,12,null,null,null,101001412,null,101001412,769296,50
1,12,null,null,null,101001800,null,101001800,0,50
1,12,null,null,null,101002233,null,101002233,215760,50
1,12,null,null,null,101001525,null,101001525,0,50
1,12,null,null,null,101002007,null,101002007,0,50
1,12,null,null,null,101002346,null,101002346,0,50
1,12,null,null,null,101002128,null,101002128,346336,50
1,12,null,null,null,101001392,null,101001392,0,50
1,12,null,null,null,101002302,null,101002302,0,50
1,12,null,null,null,101001593,null,101001593,558768,50
