code_statut_contrat,codeperiodicite,dateEffet,datefin,duree,idassure,id_souscripteur,police,prime,produitcode
1,12,null,null,null,101003112,null,101003112,125850,50
1,12,null,null,null,101003328,null,101003328,296856,50
1,12,null,null,null,101003192,null,101003192,238734,50
1,12,null,null,null,101003305,null,101003305,157296,50
1,12,null,null,null,101003205,null,101003205,223092,50
1,12,null,null,null,101003064,null,101003064,286092,50
1,12,null,null,null,101003260,null,101003260,351060,50
1,12,null,null,null,101003329,null,101003329,137046,50
1,12,null,null,null,101003153,null,101003153,666000,50
1,12,null,null,null,101003035,null,101003035,223152,50
1,12,null,null,null,101003063,null,101003063,321966,50
1,12,null,null,null,101003206,null,101003206,168738,50
1,12,null,null,null,101003271,null,101003271,484872,50
1,12,null,null,null,101003044,null,101003044,375858,50
1,12,null,null,null,101003120,null,101003120,167976,50
1,12,null,null,null,101003182,null,101003182,157242,50
1,12,null,null,null,101003228,null,101003228,154506,50
1,12,null,null,null,101002125,null,101002125,0,50
1,12,null,null,null,101002276,null,101002276,198816,50
1,12,null,null,null,101003266,null,101003266,584988,50
1,12,null,null,null,101003210,null,101003210,267372,50
1,12,null,null,null,101003176,null,101003176,232194,50
1,12,null,null,null,101003248,null,101003248,455988,50
1,12,null,null,null,101003135,null,101003135,264474,50
1,12,null,null,null,101003145,null,101003145,471414,50
1,12,null,null,null,101003136,null,101003136,558828,50
1,12,null,null,null,101003023,null,101003023,183126,50
1,12,null,null,null,101003105,null,101003105,323466,50
1,12,null,null,null,101003244,null,101003244,218946,50
1,12,null,null,null,101003024,null,101003024,227424,50
1,12,null,null,null,101003247,null,101003247,157638,50
1,12,null,null,null,101003232,null,101003232,220554,50
1,12,null,null,null,101001044,null,101001044,0,50
1,12,null,null,null,101002956,null,101002956,252558,50
1,12,null,null,null,101002521,null,101002521,380520,50
1,12,null,null,null,101003051,null,101003051,413136,50
1,12,null,null,null,101003096,null,101003096,217068,50
1,12,null,null,null,101003034,null,101003034,506670,50
1,12,null,null,null,101003149,null,101003149,220062,50
1,12,null,null,null,101002792,null,101002792,378438,50
1,12,null,null,null,101003121,null,101003121,137466,50
1,12,null,null,null,101003314,null,101003314,238140,50
1,12,null,null,null,101003186,null,101003186,161628,50
1,12,null,null,null,101003224,null,101003224,296436,50
1,12,null,null,null,101003175,null,101003175,201840,50
1,12,null,null,null,101003220,null,101003220,234660,50
1,12,null,null,null,101003276,null,101003276,624000,50
1,12,null,null,null,101003048,null,101003048,0,50
1,12,null,null,null,101003281,null,101003281,485526,50
1,12,null,null,null,101003172,null,101003172,415464,50
1,12,null,null,null,101003319,null,101003319,155466,50
1,12,null,null,null,101003245,null,101003245,614640,50
1,12,null,null,null,101003152,null,101003152,241902,50
1,12,null,null,null,101002939,null,101002939,745068,50
1,12,null,null,null,101003116,null,101003116,222906,50
1,12,null,null,null,101003047,null,101003047,291354,50
1,12,null,null,null,101003077,null,101003077,198768,50
1,12,null,null,null,101003028,null,101003028,423828,50
1,12,null,null,null,101003311,null,101003311,228792,50
1,12,null,null,null,101003166,null,101003166,285966,50
1,12,null,null,null,101000364,null,101000364,0,50
1,12,null,null,null,101002933,null,101002933,186294,50
1,12,null,null,null,101002876,null,101002876,420000,50
1,12,null,null,null,101002018,null,101002018,304290,50
1,12,null,null,null,101003185,null,101003185,170922,50
1,12,null,null,null,101003129,null,101003129,708000,50
1,12,null,null,null,101003204,null,101003204,282936,50
1,12,null,null,null,101003318,null,101003318,177984,50
1,12,null,null,null,101003253,null,101003253,211896,50
1,12,null,null,null,101003337,null,101003337,222846,50
1,12,null,null,null,101003302,null,101003302,402120,50
1,12,null,null,null,101003344,null,101003344,192876,50
1,12,null,null,null,101003261,null,101003261,293520,50
1,12,null,null,null,101003219,null,101003219,162474,50
1,12,null,null,null,101003196,null,101003196,236262,50
1,12,null,null,null,101003262,null,101003262,222846,50
1,12,null,null,null,101003229,null,101003229,162012,50
1,12,null,null,null,101003372,null,101003372,203328,50
1,12,null,null,null,101003384,null,101003384,162474,50
1,12,null,null,null,101003411,null,101003411,222600,50
1,12,null,null,null,101003478,null,101003478,155466,50
1,12,null,null,null,101003427,null,101003427,228450,50
1,12,null,null,null,101003453,null,101003453,230266,50
1,12,null,null,null,101003471,null,101003471,189286,50
1,12,null,null,null,101003394,null,101003394,273810,50
1,12,null,null,null,101003420,null,101003420,424720,50
1,12,null,null,null,101003434,null,101003434,162474,50
1,12,null,null,null,101003392,null,101003392,222740,50
1,12,null,null,null,101003450,null,101003450,145296,50
1,12,null,null,null,101003336,null,101003336,452208,50
1,12,null,null,null,101003446,null,101003446,156348,50
1,12,null,null,null,101003386,null,101003386,147132,50
1,12,null,null,null,101003323,null,101003323,233232,50
1,12,null,null,null,101003432,null,101003432,240738,50
1,12,null,null,null,101003416,null,101003416,186750,50
1,12,null,null,null,101003512,null,101003512,302154,50
1,12,null,null,null,101003515,null,101003515,281838,50
1,12,null,null,null,101003524,null,101003524,225246,50
