code_statut_contrat,codeperiodicite,dateEffet,datefin,duree,idassure,id_souscripteur,police,prime,produitcode
1,12,null,null,null,101002482,null,101002482,0,50
1,12,null,null,null,101002883,null,101002883,346356,50
1,12,null,null,null,101003010,null,101003010,2053782,50
1,12,null,null,null,101002996,null,101002996,434904,50
1,12,null,null,null,101003014,null,101003014,1428828,50
1,12,null,null,null,101002902,null,101002902,1214058,50
1,12,null,null,null,101002678,null,101002678,1091898,50
1,12,null,null,null,101002925,null,101002925,1652520,50
1,12,null,null,null,101002848,null,101002848,862968,50
1,12,null,null,null,101002778,null,101002778,1507800,50
1,12,null,null,null,101002854,null,101002854,976528,50
1,12,null,null,null,101002939,null,101002939,2908092,50
1,12,null,null,null,101002865,null,101002865,1308264,50
1,12,null,null,null,101002208,null,101002208,638766,50
1,12,null,null,null,101002935,null,101002935,764136,50
1,12,null,null,null,101002706,null,101002706,0,50
1,12,null,null,null,101002798,null,101002798,651468,50
1,12,null,null,null,101002899,null,101002899,922542,50
1,12,null,null,null,101002015,null,101002015,637680,50
1,12,null,null,null,101002793,null,101002793,2008800,50
1,12,null,null,null,101002901,null,101002901,4132800,50
1,12,null,null,null,101001800,null,101001800,0,50
1,12,null,null,null,101003025,null,101003025,863712,50
1,12,null,null,null,101002911,null,101002911,709848,50
1,12,null,null,null,101002903,null,101002903,1376430,50
1,12,null,null,null,101003028,null,101003028,1652310,50
1,12,null,null,null,101003027,null,101003027,912018,50
1,12,null,null,null,101002820,null,101002820,700296,50
1,12,null,null,null,101002945,null,101002945,0,50
1,12,null,null,null,101002823,null,101002823,1739316,50
1,12,null,null,null,101002961,null,101002961,699444,50
1,12,null,null,null,101002923,null,101002923,1311720,50
1,12,null,null,null,101002970,null,101002970,1310916,50
1,12,null,null,null,101002713,null,101002713,0,50
1,12,null,null,null,101001697,null,101001697,632112,50
1,12,null,null,null,101001870,null,101001870,600492,50
1,12,null,null,null,101002552,null,101002552,0,50
1,12,null,null,null,101003032,null,101003032,1994910,50
1,12,null,null,null,101001960,null,101001960,0,50
1,12,null,null,null,101001914,null,101001914,660000,50
1,12,null,null,null,101001620,null,101001620,0,50
1,12,null,null,null,101002513,null,101002513,3020226,50
1,12,null,null,null,101002852,null,101002852,2885322,50
1,12,null,null,null,101003002,null,101003002,494730,50
1,12,null,null,null,101001353,null,101001353,0,50
1,12,null,null,null,101001774,null,101001774,802320,50
1,12,null,null,null,101002845,null,101002845,0,50
1,12,null,null,null,101002521,null,101002521,1461222,50
1,12,null,null,null,101001392,null,101001392,0,50
1,12,null,null,null,101002921,null,101002921,318372,50
1,12,null,null,null,101002882,null,101002882,0,50
1,12,null,null,null,101002876,null,101002876,1533928,50
1,12,null,null,null,101002805,null,101002805,483132,50
1,12,null,null,null,101002092,null,101002092,0,50
1,12,null,null,null,101001832,null,101001832,905328,50
1,12,null,null,null,101000728,null,101000728,1006872,50
1,12,null,null,null,101001513,null,101001513,867828,50
1,12,null,null,null,101001896,null,101001896,756618,50
1,12,null,null,null,101002933,null,101002933,719580,50
1,12,null,null,null,101002955,null,101002955,289720,50
1,12,null,null,null,101000742,null,101000742,0,50
1,12,null,null,null,101001010,null,101001010,0,50
1,12,null,null,null,101002190,null,101002190,707874,50
1,12,null,null,null,101001630,null,101001630,347808,50
1,12,null,null,null,101001853,null,101001853,0,50
1,12,null,null,null,101001666,null,101001666,1376252,50
1,12,null,null,null,101002354,null,101002354,0,50
1,12,null,null,null,101001586,null,101001586,0,50
1,12,null,null,null,101003022,null,101003022,1158720,50
1,12,null,null,null,101002749,null,101002749,1455594,50
1,12,null,null,null,101002930,null,101002930,965592,50
1,12,null,null,null,101002920,null,101002920,2135232,50
1,12,null,null,null,101001647,null,101001647,1503316,50
1,12,null,null,null,101003030,null,101003030,1155186,50
1,12,null,null,null,101002881,null,101002881,876648,50
1,12,null,null,null,101002602,null,101002602,0,50
1,12,null,null,null,101002828,null,101002828,1865124,50
1,12,null,null,null,101002908,null,101002908,902832,50
1,12,null,null,null,101002918,null,101002918,1305480,50
1,12,null,null,null,101002950,null,101002950,1506816,50
1,12,null,null,null,101001558,null,101001558,0,50
1,12,null,null,null,101002856,null,101002856,1459962,50
1,12,null,null,null,101003131,null,101003131,798486,50
1,12,null,null,null,101003081,null,101003081,0,50
1,12,null,null,null,101003136,null,101003136,1985312,50
1,12,null,null,null,101003110,null,101003110,815418,50
1,12,null,null,null,101003176,null,101003176,908616,50
1,12,null,null,null,101003138,null,101003138,863394,50
1,12,null,null,null,101003199,null,101003199,696474,50
1,12,null,null,null,101003119,null,101003119,1469328,50
1,12,null,null,null,101003095,null,101003095,413880,50
1,12,null,null,null,101003170,null,101003170,1095318,50
1,12,null,null,null,101003105,null,101003105,1273704,50
1,12,null,null,null,101003164,null,101003164,657672,50
1,12,null,null,null,101003063,null,101003063,1259730,50
1,12,null,null,null,101003112,null,101003112,482016,50
1,12,null,null,null,101003189,null,101003189,546504,50
1,12,null,null,null,101003163,null,101003163,1178190,50
1,12,null,null,null,101003175,null,101003175,787200,50
1,12,null,null,null,101003056,null,101003056,1095318,50
1,12,null,null,null,101003070,null,101003070,2472000,50
